V_in,V_real,V_theoretical,V_output,omega1,omega2,time
71.0000,74.0000,68.2000,435,20.38,0.00,0.000
66.0000,74.0000,68.4153,433,20.38,0.00,0.008
61.0000,72.0000,68.2520,428,20.38,0.00,0.015
55.0000,73.0000,67.6944,424,20.38,0.00,0.023
51.0000,72.0000,66.8362,416,20.38,0.00,0.030
47.0000,70.0000,65.7656,411,20.38,0.00,0.037
43.0000,69.0000,64.4969,401,20.38,0.00,0.044
40.0000,69.0000,62.8441,391,20.38,0.00,0.052
37.0000,65.0000,61.0878,381,20.38,0.00,0.060
35.0000,64.0000,59.4593,378,20.38,0.00,0.067
34.0000,62.0000,57.8057,363,20.38,0.00,0.074
34.0000,60.0000,56.1963,353,20.38,0.00,0.081
34.0000,59.0000,54.4898,343,20.38,0.00,0.089
34.0000,57.0000,52.9145,334,20.34,0.00,0.097
37.0000,56.0000,51.6357,329,20.38,0.00,0.104
39.0000,55.0000,50.6463,322,20.38,0.00,0.111
42.0000,55.0000,49.8589,316,20.38,0.00,0.118
46.0000,53.0000,49.2547,312,20.38,0.00,0.126
50.0000,53.0000,49.0346,316,20.38,0.00,0.133
55.0000,53.0000,49.1089,312,20.38,0.00,0.141
60.0000,53.0000,49.5071,312,20.38,0.00,0.148
66.0000,54.0000,50.3139,315,20.38,0.00,0.156
67.0000,55.0000,51.3743,319,20.34,0.00,0.163
74.0000,55.0000,52.4307,328,20.36,0.00,0.170
81.0000,56.0000,54.0891,334,20.38,0.00,0.178
85.0000,57.0000,55.9084,343,20.38,0.00,0.185
89.0000,60.0000,58.1450,351,20.38,0.00,0.193
93.0000,62.0000,60.2310,360,20.38,0.00,0.200
96.0000,64.0000,62.4465,378,20.38,0.00,0.207
98.0000,66.0000,64.7149,388,20.38,0.00,0.214
100.0000,70.0000,67.2739,398,20.38,0.00,0.222
101.0000,70.0000,69.7901,408,20.36,0.00,0.230
102.0000,72.0000,71.9001,425,20.38,0.00,0.237
101.0000,74.0000,73.9350,433,20.38,0.00,0.244
100.0000,76.0000,76.0158,441,20.38,0.00,0.252
98.0000,77.0000,77.6373,448,20.38,0.00,0.259
95.0000,78.0000,79.2029,460,20.38,0.00,0.267
92.0000,79.0000,80.2709,463,20.38,0.00,0.274
88.0000,82.0000,81.1726,466,20.38,0.00,0.282
85.0000,81.0000,81.6342,468,20.36,0.00,0.289
79.0000,81.0000,81.8618,475,20.38,0.00,0.296
75.0000,80.0000,81.6683,471,20.38,0.00,0.303
68.0000,80.0000,81.1556,466,20.40,0.00,0.311
64.0000,80.0000,80.1441,461,20.38,0.00,0.319
59.0000,78.0000,79.0527,455,20.38,0.00,0.326
54.0000,77.0000,77.6970,451,20.38,0.00,0.333
50.0000,75.0000,76.0950,441,20.38,0.00,0.340
46.0000,76.0000,74.0887,431,20.38,0.00,0.348
41.0000,72.0000,71.9291,420,20.40,0.00,0.356
39.0000,70.0000,69.8381,419,20.38,0.00,0.363
36.0000,68.0000,67.7533,399,20.38,0.00,0.370
35.0000,66.0000,65.6066,388,20.38,0.00,0.377
34.0000,64.0000,63.2534,376,20.38,0.00,0.385
34.0000,63.0000,61.0043,365,20.38,0.00,0.393
34.0000,60.0000,59.1787,357,20.38,0.00,0.400
35.0000,59.0000,57.4764,347,20.36,0.00,0.407
37.0000,59.0000,55.9568,338,20.38,0.00,0.414
40.0000,57.0000,54.4994,331,20.38,0.00,0.422
44.0000,56.0000,53.5191,336,20.38,0.00,0.429
47.0000,55.0000,52.7873,326,20.36,0.00,0.437
52.0000,55.0000,52.3960,322,20.38,0.00,0.444
57.0000,56.0000,52.3656,323,20.38,0.00,0.452
59.0000,55.0000,52.6789,323,20.34,0.00,0.459
67.0000,55.0000,53.1062,328,20.38,0.00,0.466
72.0000,56.0000,54.0455,331,20.38,0.00,0.473
77.0000,59.0000,55.4260,337,20.38,0.00,0.481
82.0000,59.0000,57.0846,344,20.38,0.00,0.489
86.0000,60.0000,58.7691,361,20.38,0.00,0.496
90.0000,62.0000,60.6101,365,20.38,0.00,0.503
93.0000,63.0000,62.5970,374,20.36,0.00,0.510
97.0000,66.0000,65.2137,384,20.38,0.00,0.519
99.0000,67.0000,67.3627,394,20.36,0.00,0.526
101.0000,69.0000,69.5016,411,20.38,0.00,0.533
102.0000,71.0000,71.6311,419,20.38,0.00,0.540
102.0000,74.0000,73.9659,428,20.38,0.00,0.548
102.0000,76.0000,75.8612,436,20.34,0.00,0.555
99.0000,77.0000,77.8709,451,20.38,0.00,0.563
97.0000,78.0000,79.2993,456,20.38,0.00,0.570
94.0000,81.0000,80.6602,461,20.38,0.00,0.578
93.0000,80.0000,81.5621,464,20.34,0.00,0.585
87.0000,80.0000,82.3354,474,20.38,0.00,0.592
83.0000,81.0000,82.6507,473,20.38,0.00,0.599
79.0000,81.0000,82.6776,472,20.36,0.00,0.607
72.0000,81.0000,82.3948,469,20.38,0.00,0.615
67.0000,80.0000,81.6921,474,20.38,0.00,0.622
63.0000,79.0000,80.6988,463,20.38,0.00,0.629
58.0000,78.0000,79.5023,455,20.38,0.00,0.636
53.0000,77.0000,77.8491,447,20.38,0.00,0.644
49.0000,75.0000,75.9386,437,20.36,0.00,0.652
44.0000,74.0000,74.1174,431,20.38,0.00,0.659
41.0000,71.0000,72.0813,420,20.38,0.00,0.666
38.0000,70.0000,69.9800,409,20.38,0.00,0.673
36.0000,68.0000,67.5212,397,20.38,0.00,0.681
34.0000,66.0000,65.0978,386,20.38,0.00,0.689
34.0000,64.0000,62.9954,376,20.38,0.00,0.696
34.0000,62.0000,61.0351,365,20.36,0.00,0.703
35.0000,61.0000,58.9565,355,20.38,0.00,0.711
36.0000,60.0000,57.3369,345,20.38,0.00,0.718
38.0000,58.0000,55.8944,341,20.38,0.00,0.725
42.0000,56.0000,54.5186,333,20.38,0.00,0.733
45.0000,55.0000,53.6723,328,20.38,0.00,0.740
49.0000,55.0000,53.0055,325,20.38,0.00,0.748
54.0000,55.0000,52.7347,323,20.38,0.00,0.755
58.0000,55.0000,52.8203,326,20.38,0.00,0.762
63.0000,55.0000,53.1705,327,20.38,0.00,0.769
69.0000,56.0000,54.0165,328,20.38,0.00,0.778
76.0000,57.0000,55.0294,334,20.40,0.00,0.785
81.0000,59.0000,56.4472,354,20.40,0.00,0.792
83.0000,60.0000,58.1072,353,20.38,0.00,0.799
87.0000,60.0000,59.7901,360,20.38,0.00,0.806
92.0000,63.0000,61.8820,368,20.38,0.00,0.814
93.0000,65.0000,64.1977,378,20.34,0.00,0.822
98.0000,67.0000,66.1449,394,20.38,0.00,0.829
100.0000,68.0000,68.2985,403,20.38,0.00,0.836
101.0000,71.0000,70.7358,414,20.38,0.00,0.844
102.0000,73.0000,72.7818,423,20.36,0.00,0.851
102.0000,74.0000,74.7572,438,20.38,0.00,0.858
101.0000,76.0000,76.8517,445,20.38,0.00,0.866
99.0000,78.0000,78.7083,452,20.38,0.00,0.874
96.0000,79.0000,80.0802,457,20.38,0.00,0.881
93.0000,80.0000,81.1564,469,20.38,0.00,0.888
90.0000,80.0000,81.9571,472,20.38,0.00,0.895
83.0000,83.0000,82.6494,472,20.40,0.00,0.904
79.0000,81.0000,82.6731,471,20.40,0.00,0.911
76.0000,80.0000,82.4248,480,20.38,0.00,0.918
71.0000,80.0000,81.9904,471,20.38,0.00,0.925
66.0000,78.0000,81.2474,465,20.38,0.00,0.932
61.0000,79.0000,80.0751,459,20.38,0.00,0.940
59.0000,78.0000,78.6085,452,20.34,0.00,0.948
51.0000,76.0000,77.2829,448,20.38,0.00,0.955
47.0000,75.0000,75.5060,437,20.38,0.00,0.962
45.0000,72.0000,73.5788,426,20.36,0.00,0.969
40.0000,71.0000,71.3816,415,20.38,0.00,0.977
37.0000,69.0000,69.2600,404,20.38,0.00,0.984
35.0000,67.0000,66.7797,395,20.38,0.00,0.992
34.0000,65.0000,64.6312,382,20.36,0.00,0.999
34.0000,64.0000,62.5603,371,20.38,0.00,1.006
34.0000,62.0000,60.3645,360,20.40,0.00,1.014
35.0000,60.0000,58.5821,354,20.38,0.00,1.021
37.0000,58.0000,56.9878,343,20.38,0.00,1.028
39.0000,57.0000,55.4511,336,20.38,0.00,1.036
43.0000,56.0000,54.1863,330,20.38,0.00,1.044
46.0000,56.0000,53.4300,324,20.38,0.00,1.051
52.0000,55.0000,52.9277,324,20.40,0.00,1.058
55.0000,55.0000,52.8650,324,20.38,0.00,1.065
60.0000,56.0000,53.0291,323,20.38,0.00,1.073
68.0000,56.0000,53.5651,326,20.40,0.00,1.081
70.0000,57.0000,54.5410,337,20.38,0.00,1.088
75.0000,57.0000,55.5861,339,20.38,0.00,1.095
80.0000,58.0000,56.8986,345,20.38,0.00,1.102
85.0000,60.0000,58.6747,352,20.38,0.00,1.110
86.0000,62.0000,60.6987,361,20.34,0.00,1.118
93.0000,63.0000,62.4092,374,20.38,0.00,1.125
96.0000,65.0000,64.4774,384,20.38,0.00,1.132
98.0000,69.0000,66.6085,394,20.38,0.00,1.139
100.0000,70.0000,69.0219,404,20.38,0.00,1.147
101.0000,71.0000,71.1163,422,20.38,0.00,1.154
102.0000,73.0000,73.4139,429,20.38,0.00,1.162
101.0000,76.0000,75.6116,437,20.38,0.00,1.170
100.0000,77.0000,77.3281,444,20.38,0.00,1.177
98.0000,78.0000,78.8609,458,20.38,0.00,1.184
94.0000,79.0000,80.1548,463,20.40,0.00,1.191
94.0000,81.0000,81.2192,466,20.36,0.00,1.199
91.0000,81.0000,82.2019,469,20.34,0.00,1.207
84.0000,81.0000,82.7967,476,20.38,0.00,1.214
79.0000,81.0000,82.8780,476,20.38,0.00,1.221
74.0000,83.0000,82.5799,473,20.38,0.00,1.229
67.0000,81.0000,81.9998,468,20.40,0.00,1.236
64.0000,80.0000,80.8466,467,20.38,0.00,1.244
59.0000,78.0000,79.7076,459,20.38,0.00,1.251
54.0000,76.0000,78.3077,451,20.38,0.00,1.258
49.0000,76.0000,76.4388,441,20.38,0.00,1.266
45.0000,74.0000,74.5838,431,20.38,0.00,1.273
42.0000,72.0000,72.5837,423,20.38,0.00,1.280
39.0000,70.0000,70.2324,412,20.38,0.00,1.288
36.0000,69.0000,67.8311,399,20.38,0.00,1.296
36.0000,67.0000,65.6791,388,20.34,0.00,1.303
34.0000,65.0000,63.6726,380,20.38,0.00,1.310
34.0000,63.0000,61.6666,368,20.38,0.00,1.317
34.0000,62.0000,59.7961,358,20.38,0.00,1.324
36.0000,60.0000,57.5759,349,20.38,0.00,1.333
38.0000,58.0000,56.1172,344,20.38,0.00,1.340
40.0000,57.0000,54.8924,336,20.38,0.00,1.347
44.0000,56.0000,53.8856,330,20.38,0.00,1.354
48.0000,56.0000,53.1255,327,20.38,0.00,1.362
52.0000,56.0000,52.7790,325,20.38,0.00,1.369
62.0000,56.0000,52.7191,329,20.42,0.00,1.377
62.0000,56.0000,53.3466,330,20.38,0.00,1.384
