V_in,V_real,V_theoretical,V_output,omega_1,omega_2,time
42.0000,74.0000,68.2000,435,20.38,5.22,0.000
36.0000,72.0000,66.1856,421,20.38,5.22,0.008
30.0000,70.0000,63.8648,408,20.38,5.22,0.016
25.0000,67.0000,61.5754,394,20.38,5.22,0.023
20.0000,65.0000,59.1026,378,20.38,5.22,0.030
15.0000,63.0000,56.0963,362,20.38,5.22,0.038
11.0000,59.0000,53.3180,346,20.38,5.22,0.045
7.0000,56.0000,50.0644,328,20.38,5.22,0.053
4.0000,53.0000,46.7535,310,20.38,5.22,0.061
2.0000,50.0000,43.8631,294,20.38,5.22,0.068
0.0000,47.0000,41.0329,276,20.38,5.22,0.075
0.0000,44.0000,38.2587,259,20.38,5.22,0.082
0.0000,41.0000,35.3173,244,20.38,5.22,0.090
1.0000,39.0000,32.6020,229,20.38,5.22,0.098
3.0000,37.0000,30.4654,216,20.38,5.22,0.105
6.0000,35.0000,28.6086,203,20.38,5.22,0.112
9.0000,33.0000,26.8704,194,20.38,5.22,0.120
13.0000,31.0000,25.6623,188,20.38,5.22,0.127
18.0000,30.0000,24.6887,183,20.38,5.22,0.135
23.0000,30.0000,24.1745,179,20.38,5.22,0.143
28.0000,30.0000,24.0951,179,20.38,5.24,0.150
33.0000,30.0000,24.3591,180,20.38,5.22,0.157
39.0000,31.0000,25.0234,181,20.38,5.20,0.165
44.0000,31.0000,25.9683,187,20.38,5.22,0.172
50.0000,32.0000,27.3547,193,20.38,5.22,0.180
56.0000,33.0000,29.0957,199,20.38,5.22,0.188
59.0000,35.0000,30.9146,211,20.36,5.22,0.195
64.0000,36.0000,32.8134,218,20.38,5.22,0.202
68.0000,39.0000,35.2111,228,20.38,5.22,0.210
71.0000,40.0000,37.4279,243,20.38,5.22,0.217
73.0000,42.0000,40.0090,252,20.38,5.22,0.225
75.0000,45.0000,42.5455,262,20.38,5.22,0.233
75.0000,46.0000,44.7396,277,20.38,5.22,0.240
76.0000,48.0000,46.7854,285,20.38,5.22,0.247
75.0000,50.0000,49.0315,293,20.38,5.22,0.255
73.0000,51.0000,51.0281,305,20.38,5.22,0.263
71.0000,52.0000,52.5135,311,20.38,5.22,0.270
69.0000,54.0000,53.9348,315,20.38,5.22,0.278
66.0000,55.0000,54.9533,323,20.38,5.22,0.285
63.0000,55.0000,55.7001,326,20.38,5.22,0.292
